"business","registerid","storeid"
shuangxi,"62ac7b96d1dff10007592310","62ac7b96d1dff1000759230f"
tasteofhadramout,"640ffc3c8f727100079d24a4","640ffc3c8f727100079d24a2"
jengkitchen,"646aee63240edb000756597c","646aee63240edb000756597a"
donswestern,"6260dd53b75c8c0008ed50e4","6260dd53b75c8c0008ed50e3"
one80restaurant2024,"659fb1c2533eca0007659de6","651ff8107e0af10007513d71"
shafishawarma,"65c19498963c490007c780e4","65c19497963c490007c780e0"
opcfactoryoutletcaloocan,"64b4ddc18c8b4900072bbe13","64b4ddc18c8b4900072bbe11"
bokkoreanfriedchicken,"62cbf82c983fe600071a6fac","630f3665824c3d00073dbfae"
texasbbqbarn,"62b0b7697782cf0007ba7478","62b0b7697782cf0007ba7477"
hibachijapanesecuisine,"6696344a9960040007850c8b","669634499960040007850c87"
charcoal,"6141768ab57be60006993fdd","61af18a1ca61dd0006f329c0"
k1cafecorporation,"66c6d0cce50b8e0006fb4acf","66c6d0b686176d0007a9105d"
moltenchocolatecafe,"6410300824807500075ebbc2","64102ea5064cea00064e5c60"
oilpalmoilkofe,"65953d09b29bdd00085bbfd2","65953d09b29bdd00085bbfd0"
yangskitchen,"6544850454526500074a95b6","6544850454526500074a95b4"
cafeherecorner,"65f8ed9b70e9ac0007acb617","65e44cf60bd1c400070647fc"
oceanside,"642e8f2046db600008302844","642e8f2046db600008302842"
heseatery,"6304d1263254670008d9e421","6304d1263254670008d9e41f"
ministryofcakes,"65f3c3b83343e40007bdf1d9","65f3c3b83343e40007bdf1d7"
restoranunclechuasignature,"65ee8642baa10200078353d4","65ee85f4fbf65200079eda7d"
automatedretail,"6368c82ec212120007a9d534","6368c82ec212120007a9d531"
acaciasilverspoon,"66d801293e241e0007b9772a","66d801293e241e0007b97728"
theabacagroup,"650c1003a797fb0007785dc3","651c28ccba58a800073d34d6"
burninpit,"626b9c21fc1f060007e73078","626b570fbe38730009a7f21f"
yuxiangbmyamrice,"66e0074626d4090007f6f9c9","66e0074626d4090007f6f9c7"
cafetangerine,"649ea3d76569850008ddce26","649ea3d76569850008ddce22"
